city,state,lat,lon,population
Mumbai,Maharashtra,19.07283,72.88261,12691836
Delhi,Delhi,28.65195,77.23149,11034555
Bengaluru,Karnataka,12.97194,77.59369,8495492
Hyderabad,Telangana,17.38405,78.45636,6993262
Ahmedabad,Gujarat,23.02579,72.58727,6357693
Chennai,Tamil Nadu,13.08784,80.27847,4681087
Kolkata,West Bengal,22.56263,88.36304,4631392
Surat,Gujarat,21.19594,72.83023,4591246
Pune,Maharashtra,18.51957,73.85535,3124458
Jaipur,Rajasthan,26.91962,75.78781,3046163
Kanpur,Uttar Pradesh,26.46523,80.34975,2823249
Navi Mumbai,Maharashtra,19.03681,73.01582,2600000
Lucknow,Uttar Pradesh,26.83928,80.92313,2472011
Nagpur,Maharashtra,21.14631,79.08491,2405665
Coimbatore,Tamil Nadu,11.00555,76.96612,2136916
Indore,Madhya Pradesh,22.71792,75.8333,1994397
Thane,Maharashtra,19.19704,72.96355,1841488
Vadodara,Gujarat,22.29941,73.20812,1822221
Bhopal,Madhya Pradesh,23.25469,77.40289,1798218
Rasapudipalem,Andhra Pradesh,17.73308,83.31622,1728128
Pimpri-Chinchwad,Maharashtra,18.61867,73.80375,1727692
Patna,Bihar,25.59408,85.13563,1684297
Kallakurichi,Tamil Nadu,11.73379,78.95925,1682687
Ludhiana,Punjab,30.91204,75.85379,1618879
Nashik,Maharashtra,19.99727,73.79096,1486053
Madurai,Tamil Nadu,9.919,78.11953,1465625
Tirunelveli,Tamil Nadu,8.72742,77.6838,1435844
Agra,Uttar Pradesh,27.18333,78.01667,1430055
Faridabad,Haryana,28.41124,77.31316,1414050
Rajkot,Gujarat,22.29161,70.79322,1390640
Najafgarh,Delhi,28.60922,76.97982,1365000
Jamshedpur,Jharkhand,22.80278,86.18545,1339438
Pimpri,Maharashtra,18.62292,73.80696,1284606
Kalyan,Maharashtra,19.2437,73.13554,1262255
Dombivali,Maharashtra,19.21667,73.08333,1247327
Meerut,Uttar Pradesh,28.98002,77.70636,1223184
Virar,Maharashtra,19.45591,72.81136,1222390
Nowrangapur,Odisha,19.23114,82.54826,1220946
Srinagar,Jammu and Kashmir,34.08565,74.80555,1206419
Ghaziabad,Uttar Pradesh,28.66535,77.43915,1199191
Dhanbad,Jharkhand,23.79759,86.42992,1196214
Aurangabad,Maharashtra,19.87757,75.34226,1175116
Varanasi,Uttar Pradesh,25.31668,83.01041,1164404
Amritsar,Punjab,31.62234,74.87534,1159227
Vijayawada,Andhra Pradesh,16.50745,80.6466,1143232
Ranchi,Jharkhand,23.34316,85.3094,1120374
Jabalpur,Madhya Pradesh,23.16697,79.95006,1081677
Prayagraj,Uttar Pradesh,25.44478,81.84322,1073438
Visakhapatnam,Andhra Pradesh,17.68009,83.20161,1063178
Jodhpur,Rajasthan,26.26841,73.00594,1056191
Gwalior,Madhya Pradesh,26.22983,78.17337,1054420
Teni,Tamil Nadu,10.01115,77.47772,1034724
Howrah,West Bengal,22.57688,88.31857,1027672
Raipur,Chhattisgarh,21.23333,81.63333,1027264
Tiruchirappalli,Tamil Nadu,10.8155,78.69651,1022518
Kota,Rajasthan,25.18254,75.83907,1001694
Shivaji Nagar,Maharashtra,18.53017,73.85263,1000000
Sholapur,Maharashtra,17.67152,75.91044,997281
Chandigarh,Chandigarh,30.73629,76.7884,970602
Tiruppur,Tamil Nadu,11.11541,77.35456,963173
Guwahati,Assam,26.1844,91.7458,962334
Hubballi,Karnataka,15.34776,75.13378,943788
Mysuru,Karnataka,12.29791,76.63925,920550
Salem,Tamil Nadu,11.65376,78.15538,917414
Gurugram,Haryana,28.4601,77.02635,886519
Bhubaneswar,Odisha,20.27241,85.83385,885363
Bhiwandi,Maharashtra,19.30023,73.05881,874032
Jalandhar,Punjab,31.32556,75.57917,868929
Rohini,Delhi,28.74322,77.06778,860000
Kanayannur,Kerala,9.96667,76.26667,851406
Bhayandar,Maharashtra,19.30157,72.85107,809378
Narela,Delhi,28.85267,77.09288,800000
Thiruvananthapuram,Kerala,8.4855,76.94924,788271
Aligarh,Uttar Pradesh,27.88145,78.07464,753207
Bareilly,Uttar Pradesh,28.36678,79.43167,745435
Moradabad,Uttar Pradesh,28.83893,78.77684,721139
Warangal,Telangana,18.0,79.58333,704570
Dharavi,Maharashtra,19.05,72.86667,700000
Gorakhpur,Uttar Pradesh,26.76628,83.36889,674246
Guntur,Andhra Pradesh,16.29974,80.45729,670073
Puducherry,Puducherry,11.93381,79.82979,657209
Jajmau,Uttar Pradesh,26.4304,80.4095,652831
Amravati,Maharashtra,20.93333,77.75,647057
Bikaner,Rajasthan,28.01762,73.31495,644406
Kochi,Kerala,9.93988,76.26022,633553
Bhilai,Chhattisgarh,21.20919,81.4285,627734
Cuttack,Odisha,20.46497,85.87927,610189
Borivli,Maharashtra,19.23496,72.85976,609617
Bhavnagar,Gujarat,21.76287,72.15331,605882
Sangli,Maharashtra,16.85438,74.56417,601214
Jamnagar,Gujarat,22.47292,70.06673,600943
Jammu,Jammu and Kashmir,32.73528,74.86167,576198
Bokaro,Jharkhand,23.66934,86.15161,564319
Nanded,Maharashtra,19.16023,77.31497,550564
Kozhikode,Kerala,11.24802,75.7804,550440
Kolhapur,Maharashtra,16.69563,74.23167,549236
Nellore,Andhra Pradesh,14.44992,79.98697,547621
