state,lat,lon
Karnataka,12.9716,77.5946
Maharashtra,19.0760,72.8777
Kerala,8.5241,76.9366
Tamil Nadu,13.0827,80.2707
Andhra Pradesh,16.5062,80.6480
Telangana,17.3850,78.4867
West Bengal,22.5726,88.3639
Bihar,25.5941,85.1376
Uttar Pradesh,26.8467,80.9462
Uttaranchal,30.3165,78.0322
Assam,26.1445,91.7362
Orissa,20.2961,85.8245
Gujarat,23.0225,72.5714
Rajasthan,26.9124,75.7873
Punjab,30.7333,76.7794
Haryana,29.0588,76.0856
Delhi,28.6139,77.2090
Madhya Pradesh,23.2599,77.4126
Chhattisgarh,21.2787,81.8661
Jharkhand,23.3441,85.3096
Himachal Pradesh,31.1048,77.1734
Jammu & Kashmir,34.0837,74.7973
Goa,15.2993,74.1240
Arunachal Pradesh,27.0844,93.6053
Meghalaya,25.4670,91.3662
Manipur,24.6637,93.9063
Mizoram,23.1645,92.9376
Nagaland,25.6751,94.1086
Tripura,23.9408,91.9882
Sikkim,27.5330,88.5122
Chandigarh,30.7333,76.7794
Pondicherry,11.9416,79.8083
